codigo_ocorrencia;codigo_ocorrencia1;codigo_ocorrencia2;ocorrencia_classificacao;ocorrencia_cidade;ocorrencia_uf;ocorrencia_pais;ocorrencia_aerodromo;ocorrencia_dia;ocorrencia_hora;total_recomendacoes
40621;40621;40621;INCIDENTE GRAVE;POÇOS DE CALDAS;MG;BRASIL;SBPC;05/05/2010;21:05:00;0
40622;40622;40622;INCIDENTE;BELÉM;PA;BRASIL;****;05/05/2010;17:10:00;0
40821;40821;40821;INCIDENTE;MANICORÉ;AM;BRASIL;****;05/05/2010;09:32:00;0
40620;40620;40620;INCIDENTE GRAVE;GUARULHOS;SP;BRASIL;SBGR;06/05/2010;15:50:00;0
40624;40624;40624;INCIDENTE;SÃO LUÍS;MA;BRASIL;SBSL;06/05/2010;17:05:00;0
40825;40825;40825;INCIDENTE;BELO HORIZONTE;MG;BRASIL;SBBH;06/05/2010;18:48:00;0
40791;40791;40791;INCIDENTE;MANAUS;AM;BRASIL;****;07/05/2010;10:28:00;0
40793;40793;40793;ACIDENTE;PORTO NACIONAL;TO;BRASIL;SBPN;07/05/2010;16:41:00;3
40837;40837;40837;INCIDENTE;CUIABÁ;MT;BRASIL;****;07/05/2010;22:17:00;0
40732;40732;40732;INCIDENTE GRAVE;CAMAÇARI;BA;BRASIL;****;08/05/2010;15:05:00;5
40835;40835;40835;INCIDENTE;UBERABA;MG;BRASIL;****;08/05/2010;13:14:00;0
40843;40843;40843;ACIDENTE;LUCAS DO RIO VERDE;MT;BRASIL;****;08/05/2010;18:30:00;0
40834;40834;40834;INCIDENTE;ILHÉUS;BA;BRASIL;****;10/05/2010;23:55:00;0
40839;40839;40839;ACIDENTE;ITÁPOLIS;SP;BRASIL;****;10/05/2010;20:30:00;0
41665;41665;41665;INCIDENTE;MARABÁ;PA;BRASIL;SBMA;11/05/2010;18:32:00;0
41649;41649;41649;INCIDENTE;SÃO PAULO;SP;BRASIL;SBSP;12/05/2010;19:52:00;0
40855;40855;40855;ACIDENTE;MANAUS;AM;BRASIL;****;13/05/2010;18:58:00;4
41573;41573;41573;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;SBJR;13/05/2010;16:10:00;0
40853;40853;40853;INCIDENTE;MARÍLIA;SP;BRASIL;SBML;14/05/2010;18:25:00;0
41574;41574;41574;INCIDENTE;JUIZ DE FORA;MG;BRASIL;****;14/05/2010;23:57:00;0
40933;40933;40933;ACIDENTE;CÁCERES;MT;BRASIL;SWKC;15/05/2010;20:40:00;0
41485;41485;41485;INCIDENTE;MANICORÉ;AM;BRASIL;****;15/05/2010;12:00:00;0
41393;41393;41393;INCIDENTE;LONDRINA;PR;BRASIL;SBLO;17/05/2010;11:15:00;0
41409;41409;41409;INCIDENTE;BAGÉ;RS;BRASIL;****;17/05/2010;14:20:00;0
41054;41054;41054;INCIDENTE;MONTE ALEGRE;PA;BRASIL;****;18/05/2010;14:55:00;0
41174;41174;41174;INCIDENTE;MACEIÓ;AL;BRASIL;SBMO;18/05/2010;21:50:00;0
41053;41053;41053;ACIDENTE;CASCAVEL;PR;BRASIL;SBCA;19/05/2010;08:10:00;2
41132;41132;41132;INCIDENTE;SÃO PAULO;SP;BRASIL;****;20/05/2010;03:00:00;0
41155;41155;41155;ACIDENTE;JUNDIAÍ;SP;BRASIL;SBJD;20/05/2010;19:35:00;5
41177;41177;41177;ACIDENTE;GOIÂNIA;GO;BRASIL;SBGO;20/05/2010;20:05:00;0
41179;41179;41179;INCIDENTE GRAVE;BRASÍLIA;DF;BRASIL;SBBR;20/05/2010;22:20:00;8
41178;41178;41178;INCIDENTE;CAMPINAS;SP;BRASIL;SDAM;21/05/2010;15:40:00;0
41172;41172;41172;INCIDENTE;PARAUAPEBAS;PA;BRASIL;SBCJ;22/05/2010;19:02:00;0
41235;41235;41235;INCIDENTE;BRASÍLIA;DF;BRASIL;SBBR;23/05/2010;15:35:00;0
41224;41224;41224;INCIDENTE;GOIÂNIA;GO;BRASIL;****;26/05/2010;15:50:00;0
41252;41252;41252;INCIDENTE;SÃO LUÍS;MA;BRASIL;SBSL;26/05/2010;14:10:00;0
41374;41374;41374;ACIDENTE;CORRENTINA;BA;BRASIL;****;26/05/2010;14:00:00;9
41274;41274;41274;ACIDENTE;BOCAINA;SP;BRASIL;****;27/05/2010;12:00:00;0
41236;41236;41236;ACIDENTE;FELIZ DESERTO;AL;BRASIL;SNUZ;29/05/2010;09:55:00;3
41272;41272;41272;INCIDENTE;FORTALEZA;CE;BRASIL;SBFZ;29/05/2010;19:38:00;0
41375;41375;41375;INCIDENTE;BRASÍLIA;DF;BRASIL;SBBR;29/05/2010;15:45:00;0
41376;41376;41376;INCIDENTE;PORTO SEGURO;BA;BRASIL;SBPS;29/05/2010;13:50:00;0
41378;41378;41378;INCIDENTE;COARI;AM;BRASIL;****;02/06/2010;19:00:00;0
41481;41481;41481;INCIDENTE;CONFINS;MG;BRASIL;SBCF;02/06/2010;01:00:00;0
41484;41484;41484;INCIDENTE;BRASÍLIA;DF;BRASIL;SBBR;02/06/2010;12:20:00;0
41482;41482;41482;ACIDENTE;TRÊS FORQUILHAS;RS;BRASIL;****;03/06/2010;16:15:00;0
